label,log_path,total_steps,value_init,value_at_240,value_final,grad_l2_step0,grad_l2_mean_first50,grad_l2_mean_first240,grad_l2_mean_overall
gate_init=0.0 (zero-init),experiments/exp_e_gate_warmstart_init0_20260512_202855/gate_grad_log.csv,717,0.0,0.00016457471065223217,0.0003436080878600478,1.6586434867349453e-05,0.00018161540108849295,0.004565373008729997,0.008566858920075419
"gate_init=0.02 (warm-start, ours)",experiments/exp_e_gate_warmstart_init0p02_20260512_203103/gate_grad_log.csv,717,0.019999999552965164,0.02121427282691002,0.021819116547703743,9.322296136815567e-06,0.0001493440297417692,0.005420089901167558,0.0076693044006261694
